country_iso3,country_name,year,gdp_per_capita_usd,inflation_cpi_annual_pct,financial_account_baseline,remittances_received_pct_gdp
ABW,Aruba,2020,22759.8071750722,,,1.41554458571917
ABW,Aruba,2021,26749.3296093118,,,1.24425014179282
ABW,Aruba,2022,30975.9989121779,,,1.15159737684148
ABW,Aruba,2023,35718.7531191634,,,1.01608886441587
ABW,Aruba,2024,39498.5941293797,,,0.893829398919622
AFG,Afghanistan,2020,510.787063366811,5.60188791482224,9.65382184434304,3.95329685319887
AFG,Afghanistan,2021,356.496214115892,5.13320340824963,9.65382184434304,2.24403998810715
AFG,Afghanistan,2022,357.261152798144,13.7121023720065,9.65382184434304,2.20731611347931
AFG,Afghanistan,2023,413.757894705303,-4.64470870797775,9.65382184434304,1.8656461200228
AFG,Afghanistan,2024,,-6.60118564073726,9.65382184434304,
AGO,Angola,2020,1759.35619918264,22.271539247051,,0.0136834575473168
AGO,Angola,2021,2303.90812662776,25.7542948841891,,0.0158763470925451
AGO,Angola,2022,3682.1131513698,21.3552901320822,,0.0106739240124738
AGO,Angola,2023,2916.13663284275,13.6441017767715,,0.0112595136943061
AGO,Angola,2024,2665.87444776753,28.2404948915772,,0.0505345581578213
ALB,Albania,2020,6027.91350716348,1.62088661717004,46.069250627042,9.61841800746962
ALB,Albania,2021,7242.45513146613,2.04147163139545,46.069250627042,9.52948598024897
ALB,Albania,2022,7756.96188744253,6.7252027153006,46.069250627042,9.17717025231113
ALB,Albania,2023,9730.86921906893,4.75834555150039,46.069250627042,8.66778018906039
ALB,Albania,2024,11377.7757431099,2.21587375089999,46.069250627042,8.40939322766939
AND,Andorra,2020,37361.1070081615,,,1.64013432676391
AND,Andorra,2021,42425.7066454357,,,1.59419633502347
AND,Andorra,2022,42414.0479861228,,,1.31863050475322
AND,Andorra,2023,46812.4261013102,,,1.27540334966827
AND,Andorra,2024,49303.6491674336,,,1.29549313910818
ARE,United Arab Emirates,2020,37991.7492971665,-2.07940317940944,85.7421930087712,
ARE,United Arab Emirates,2021,44118.5047192771,0.179935336174431,85.7421930087712,
ARE,United Arab Emirates,2022,50759.7589231191,5.29122604376849,85.7421930087712,
ARE,United Arab Emirates,2023,49850.6872175164,1.62670837213248,85.7421930087712,0.359500450678101
ARE,United Arab Emirates,2024,50273.5060469837,1.66336510224894,85.7421930087712,0.325377524202418
ARG,Argentina,2020,8535.59938004389,42.0150947376509,81.7442446865007,0.168011924038753
ARG,Argentina,2021,10738.0179223384,48.4093786255199,81.7442446865007,0.185543785281081
ARG,Argentina,2022,13962.1894087223,72.430757531824,81.7442446865007,0.166635693990481
ARG,Argentina,2023,14261.8465667948,133.488935594175,81.7442446865007,0.15535734613336
ARG,Argentina,2024,13969.7836603737,219.883929014578,81.7442446865007,0.163599877828893
ARM,Armenia,2020,4268.68093304583,1.21143577838465,71.3734734683257,10.4970552541265
ARM,Armenia,2021,4685.17997128509,7.18483629443371,71.3734734683257,11.2171827452107
ARM,Armenia,2022,6571.97445545099,8.64091108973855,71.3734734683257,10.8688335174113
ARM,Armenia,2023,8159.08720967996,1.98041877615554,71.3734734683257,6.39621098617553
ARM,Armenia,2024,8556.21406956719,0.269511978259125,71.3734734683257,4.92468775781423
ASM,American Samoa,2020,14489.2586563775,,,
ASM,American Samoa,2021,15236.1604875571,,,
ASM,American Samoa,2022,18017.4589383973,,,
ATG,Antigua and Barbuda,2020,15369.6082250401,0.625989707046719,,2.56585012934811
ATG,Antigua and Barbuda,2021,17348.6006987182,2.06299638545334,,2.82536157975282
ATG,Antigua and Barbuda,2022,20105.1989085164,7.53107834634288,,1.86496707164868
ATG,Antigua and Barbuda,2023,21494.5474000727,5.06713865364213,,1.7389598236213
ATG,Antigua and Barbuda,2024,23542.4526945578,6.19886698842116,,1.18665213980724
AUS,Australia,2020,51983.4523666382,0.846905537459305,98.0103778290099,0.0833273223696793
AUS,Australia,2021,60758.9044397144,2.86391042204994,98.0103778290099,0.0538873539403801
AUS,Australia,2022,65169.5191118657,6.59409671341846,98.0103778290099,0.0713213074162778
AUS,Australia,2023,65058.3773146674,5.5970149253731,98.0103778290099,0.0928559687058244
AUS,Australia,2024,64603.9856308464,3.1616142830575,98.0103778290099,0.100476992804764
AUT,Austria,2020,48716.4098900349,1.38191063351862,99.5084974640411,0.69677434560967
AUT,Austria,2021,53648.6437976214,2.7666666666667,99.5084974640411,0.664274745885735
AUT,Austria,2022,52336.7725223758,8.5468699318845,99.5084974640411,0.636214157041973
AUT,Austria,2023,56579.504175468,7.81413417002832,99.5084974640411,0.631386866730441
AUT,Austria,2024,58268.8787651601,2.93791574279383,99.5084974640411,0.651189560177177
AZE,Azerbaijan,2020,4229.91064904503,2.75980947008127,56.3046655573957,3.2864567961961
AZE,Azerbaijan,2021,5408.04535175023,6.65029912708779,56.3046655573957,2.78454087413308
AZE,Azerbaijan,2022,7770.594223351,13.8522590144267,56.3046655573957,5.012251973723
AZE,Azerbaijan,2023,7133.02838048328,8.78543049849081,56.3046655573957,2.64096975190127
AZE,Azerbaijan,2024,7283.8499076179,2.21217188919901,56.3046655573957,1.81882789681566
BDI,Burundi,2020,255.8324539389,7.32110643415521,,4.5022086392216
BDI,Burundi,2021,264.980379269655,8.40453845076341,,4.88984068334734
BDI,Burundi,2022,302.992505263552,18.8008786664945,,4.04924423053384
BDI,Burundi,2023,250.627253097255,26.9414835762453,,5.70350650717509
BDI,Burundi,2024,219.424830882698,20.2124925027847,,7.68504980490069
BEL,Belgium,2020,45906.2875805246,0.740791812220344,98.2369093220798,2.47543593372868
BEL,Belgium,2021,51658.238294958,2.44024851144084,98.2369093220798,2.38689121016773
BEL,Belgium,2022,50605.7496677086,9.597511728725,98.2369093220798,2.37479009326131
BEL,Belgium,2023,55291.4754541329,4.04901077613941,98.2369093220798,2.24799476941634
BEL,Belgium,2024,56614.5679499036,3.14349136500041,98.2369093220798,2.3058808956455
BEN,Benin,2020,1200.19426557789,3.02272119663759,51.8432060403598,1.30443860209878
BEN,Benin,2021,1318.65158075198,1.73353962694036,51.8432060403598,1.30551361346959
BEN,Benin,2022,1266.42711031904,1.35077863583527,51.8432060403598,1.43702897358244
BEN,Benin,2023,1394.17784721831,2.73870078406075,51.8432060403598,1.72082497476655
BEN,Benin,2024,1485.38018885134,1.16093089640415,51.8432060403598,1.09690827945195
BFA,Burkina Faso,2020,825.237038782475,1.88470066518847,51.4274911911242,2.95970546183422
BFA,Burkina Faso,2021,895.535288442991,3.65326761825509,51.4274911911242,2.89859371271546
BFA,Burkina Faso,2022,827.330843486661,14.2902354303358,51.4274911911242,2.81334408479241
